10,0,0,2
9,1,0,2
10,1,0,2
2,2,0,14
9,2,0,2
10,2,0,2
11,2,0,2
12,2,0,2
15,2,0,1
16,2,0,1
17,2,0,8
2,3,0,1
3,3,0,1
4,3,0,7
9,3,0,2
11,3,0,2
15,3,0,1
2,4,1,1
9,4,0,2
10,4,0,2
11,4,0,2
14,4,0,1
15,4,0,1
1,5,0,7
2,5,0,1
9,5,0,2
10,5,0,2
11,5,0,2
12,5,0,2
13,5,0,1
14,5,0,1
2,6,0,1
3,6,0,1
4,6,0,1
5,6,0,1
6,6,0,1
7,6,0,2
8,6,0,2
9,6,0,2
10,6,0,2
12,6,0,1
13,6,0,1
14,6,0,2
15,6,0,2
6,7,0,1
7,7,0,1
8,7,0,2
12,7,0,1
15,7,0,2
5,8,0,2
6,8,0,2
7,8,0,1
10,8,0,1
11,8,0,1
12,8,0,1
14,8,0,2
15,8,0,2
2,9,0,2
3,9,0,2
4,9,0,2
5,9,0,2
7,9,0,1
10,9,0,9
12,9,0,1
13,9,0,1
14,9,0,2
15,9,0,2
16,9,0,2
17,9,0,2
2,10,0,2
3,10,0,2
4,10,0,2
7,10,0,1
8,10,0,1
9,10,0,1
10,10,0,1
13,10,0,1
14,10,0,1
16,10,0,2
17,10,0,2
3,11,0,2
4,11,0,2
8,11,0,1
12,11,0,2
13,11,0,2
14,11,0,1
4,12,0,2
5,12,0,2
6,12,0,2
7,12,0,1
8,12,0,1
11,12,0,2
12,12,0,2
14,12,0,1
4,13,0,2
6,13,0,1
7,13,0,1
10,13,0,2
11,13,0,2
12,13,0,2
14,13,0,1
6,14,0,1
7,14,0,2
8,14,0,2
9,14,0,2
10,14,0,2
11,14,0,2
13,14,0,1
14,14,0,1
17,14,0,7
6,15,0,1
8,15,0,2
9,15,0,2
10,15,0,2
11,15,0,2
13,15,0,1
17,15,0,1
3,16,0,8
4,16,0,1
5,16,0,1
6,16,0,1
8,16,0,2
9,16,0,2
10,16,0,2
13,16,0,1
14,16,0,1
15,16,2,1
16,16,0,1
17,16,0,1
8,17,0,2
9,17,0,2
13,17,0,7
16,17,0,15
7,18,0,2
8,18,0,2
9,18,0,2
7,19,0,2
8,19,0,2
9,19,0,2
